,date,title,content,gall_name
338,2022.08.13 02:45,"갤주 중심 더불어민주당이 장기집권, 독주할 수 밖에 없음.",경제 번영(융성)의 상징은 갤주-더불어민주당이지~ - 이재명 마이너 갤러리 (dcinside.com) 2021년의 승리자인 우리 대한민국의 번영(융성) 모습. - 이재명 마이너 갤러리 (dcinside.com) 더불어민주당 역대 정권...,이재명
339,2022.11.05 23:56,'더불어민주당'이라는 정당 자체는 메리트가 없어,평범한 국가 A에 더불어민주당이 있다고 하면 중도 빅텐트라고는 하지만 확실한 이념도 없는 정당을 지지할 이유가 있겠어? 다들 각각 본인의 이념에 맞는 정당을 찾아갔겠지. 그렇지만 더불어민주당이 매력적인...,더불어민주당
340,2022.10.04 15:13,"[2022 국감] ""문재인정부 탓, 언제까지 할래?"" 더불어민주당 의원들","[2022 국감] ""문재인정부 탓, 언제까지 할래?"" 더불어민주당 의원들 ""윤석열정부, 문재인정부 흠집내기 지나치다"" [아이뉴스24 정종오 기자] “윤석열정부는 전 정권인 문재인정부의 여러 부분을 두고 흠집...",걸스플래닛999
341,2022.08.14 13:28,더불어민주당 마이너 갤러리 정규 운영원칙,"조국 대한민국 중흥을 알린 문재인 대통령. 세 분의 전직, 현직 대통령들이 몸담고,몸담았던 정당인 더불어민주당의 지지자들이 모인 이 누리마당의 원활한 운영을 위한 운영원칙을 여기에 작성하니, 본 갤러리의...",더불어민주당
342,2022.11.28 12:12,"안동운 더탐사'를 두고 ""더불어민주당과 협업한 정치깡패""","한동훈 법무부 장관은 전날인 27일 자신의 집을 찾아왔던 유튜브 매체 '시민언론 더탐사'를 두고 ""더불어민주당과 협업한 정치깡패""라고 강하게 비판했다. ▶한동훈 장관은 28일 출근길에 취재진의 관련 질의에...",이재명
343,2022.10.29 12:07,나는 더불어민주당 당원들이 자기 사상을 자유롭게 밝혀야,"나는 더불어민주당 당원들이, 특히 국회 의원 등이 자기들의 정신이 김일성주의, 주체사상, 공산주의, 사회주의에 있다고 밝혀야만 좋은 민주 공화정이 이뤄진 것이라고 생각한다. 이 자들이 중화인민공화국의...","정치, 사회"
344,2023.01.01 17:11,"[정당지지도] 국민의힘 40.5%, 더불어민주당 35%","수사 문제없어' 50.6%, '이상민 해임해야' 52.2% 새해를 맞아 MBC가 실시한 여론조사에서, 이재명 더불어민주당 대표에 대한 검찰 수사가 '문제없다'는 응답이 '문제있다'는 응답보다 높은 것으로 나타났습니다...","정치, 사회"
345,2023.01.01 17:11,"[정당지지도] 국민의힘 40.5%, 더불어민주당 35%","수사 문제없어' 50.6%, '이상민 해임해야' 52.2% 새해를 맞아 MBC가 실시한 여론조사에서, 이재명 더불어민주당 대표에 대한 검찰 수사가 '문제없다'는 응답이 '문제있다'는 응답보다 높은 것으로 나타났습니다...","정치, 사회"
346,2022.10.17 20:21,"더불어민주당 서울특별시당 청년위원장 후보, 김홍태입니다.","안녕하세요 갤러리 여러분, 더불어민주당 서울특별시당 청년위원장 선거에 출마한 김홍태입니다. 저는 정당생활을 지속하며 당의 결정과 여론의 방향이 항상 맞지는 않는다는 의구심을 갖고 있었습니다. 이에 저...",더불어민주당
347,2022.12.24 23:23,"민생, 주거안정 오직 더불어민주당만이 해결할 수 있다.","서울에서 강남, 서초, 송파처럼 부자 동네는 국힘 지지도가 높은 걸 생각하면 오직 친서민 정책을 펼치는 정당은 더불어민주당뿐이다. - dc official App",LG 트윈스
348,2022.12.16 20:58,"서울시의회 더불어민주당, ‘다수결에 가로막힌 시민예산’","서울시의회 더불어민주당, ‘다수결에 가로막힌 시민예산’ (네이버 링크) ‘역대 최대’ 서울시 예산 통과…노동·교육계 반발 (네이버 링크) 헐...",더불어민주당
349,2022.10.26 15:52,강도출신 더불어 민주당 국회의원 이학영,돈으로 남조선 통일을 위한 혁명 군자금으로 사용하려고 했다고 함 그때 잡은 강도 중 한 명이 더불어 민주당의 이학영 의원 5년 복역했는데 노무현이 대통령이 되고 민투위 강도사건의 강도전과자들을 민주화...,기타 국내 드라마
350,2022.11.08 03:02,미국 뉴스위크 평가:전세계 현대사 제 11대 지도자인 더불어민주당 소속,"잘 보시다시피, 미국 뉴스위크 일간지에서 평가한 전세계 현대사상 제 11대 지도자에 우리 대한민국의 더불어민주당 소속 김대중 전 대통령이 선정됨. 중국의 덩 샤오핑 전 주석이 독재자에, 1989년 6월 4...",최강욱
351,2022.12.27 23:47,역시 이잼 중심 더불어민주당이 최선이다!,"역시, 이잼 중심 더불어민주당이 최선이다. 국짐당(국민의 힘)은 1달 1참사네. 내년 경제위기는 어떻게 대처할려고 저러나. ㅎㅎㅎㅎㅎ",최강욱
352,2022.11.16 10:01,명단 유출이 가장 유력한 곳은 더불어민주당 이지..,왜냐하면 사망자 중에 이름 틀린 사람이 존재함 정부 자료라면 그렇게 하기 쉽지 않지 더불어민주당...단 한번도 유족의 동의 같은거 말한적이 없다.. 반대 안하면 공개 한다고 했지... 그래서 정의당 조차 이...,"정치, 사회"
353,2022.12.01 15:00,(메이플폭로)대한민국의 더불어 민주당 국회의원은 뭘 하고 있나요?,호주 앤드류 윌키 하원의원이 확률형 아이템이 있는 게임을 청소년이용불가로 분류해야 한다는 내용의 규제 법안을 발의 대한민국의 더불어 민주당 국회의원도 똑같이 발의 하세요.,메이플스토리
354,2022.12.18 15:58,"민생, 주거안정 오직 더불어민주당만이 해결할 수 있다.","서울에서 강남, 서초, 송파처럼 부자 동네는 국힘 지지도가 높은 걸 생각하면 오직 친서민 정책을 펼치는 정당은 더불어민주당뿐이다. - dc official App",해외축구
355,2022.12.28 02:07,오세훈여동생 오세현(전 KT 전무) 더불어민주당에 비례신청.gisa,https://archive.md/gfby8 오세훈 전 시장 여동생 더불어민주당 비례 신청했다 철회 보관 2022년 12월 27일 16:57:54 UTC archive.md,국민의힘
356,2022.09.23 04:33,청년과이음 더불어민주당 정보/자료 게시판 추가 안내,"안녕하십니까, ENX 대표 윤승현입니다. 더불어민주당 정보/자료 소개 및 백업을 위하여 청년과이음 더불어민주당 정보/자료 게시판을 생성하였으니 정보, 자료등이 있으면 공유부탁드립니다(그 외의 용도로는...",더불어민주당
357,2022.08.13 00:59,더불어민주당 역대 정권은 다들 유능했음.,경제 번영(융성)의 상징은 갤주-더불어민주당이지~ - 이재명 마이너 갤러리 (dcinside.com) 2021년의 승리자인 우리 대한민국의 번영(융성) 모습. - 이재명 마이너 갤러리 (dcinside.com) 우리 대한민국의 전현직...,이재명
358,2022.11.14 15:39,더불어민주당 질문,더불어민주당은 왜 더불어 살지도 않고 민주적이지도 않나요??? 민주주의 안지키고 서민 고소하고 더불어 안살고 자기들만 잘살 생각하는데 차라리 나혼자 공산당으로 지으면 이해하겠는데 좀 이상해서요 궁금하네요,국민의힘
359,2022.11.05 03:44,(메이플폭로)(소신발언)솔직히 더불어 민주당이랑 국민의 힘도 문제,더불어 민주당이랑 국민의 힘에서 서로 싸운 것 때문에 그 밑에 지지자들도 지지자들끼리 서로 싸우지 않았나요? 경찰의 인력들이 지지자들의 시위에 대부분 배치가 돼었어요,메이플스토리
360,2022.10.23 14:21,"박홍근 ""尹, 사과 안하면 시정연설 보이콧"" 박홍근 더불어민주당 원내대","박홍근 ""尹, 사과 안하면 시정연설 보이콧"" 박홍근 더불어민주당 원내대표는 23일 윤석열 대통령을 향해 ""대국민, 대국회 사과를 촉구한다""며 25일로 예정된 시정연설에 대한 '보이콧'을 시사했다. 박 원내대표는...",걸스플래닛999
361,2022.07.27 21:43,갤주-더불어민주당이 청년들에게 복지 가장 잘 챙겨줌.,"더불어민주당의 역대 정권들에 포함되는 노무현, 문재인 전 정권 국방비 증가율을 보자. 역대 정권들 중에서 압도적으로 높다. 여기에 기반해, 군장병 봉급(+휴대폰 반입 허용, 외출박 대폭 증대, 신형 생활관...",이재명
362,2022.08.13 00:40,다들 다시 1번 갤주의 더불어민주당 계승 정신을 보자!,참조:더불어민주당 첫 정권인 윤보선/장면 의문의 1패. 원래 윤보선/장면-김대중-노무현-문재인-이재명(예정) 순인데. ㅎㅎㅎ 다들 갤주(이재명 더불어민주당 소속 인천광역시 계양구 을 국회의원)의 더불어...,이재명
363,2022.08.16 02:49,경제 번영(융성)의 상징은 갤주-더불어민주당이지~,"전 정권이지. IMF 외환위기 사태를 극복(2001년 8월 23일경에 조기 극복 선언)해낸 정당은 어디? 더불어민주당 소속의 김대중 전 정권임. 코스피 지수를 보면, 더불어민주당 소속인 김대중, 노무현, 문재인 전...",최강욱
364,2022.11.27 03:23,더불어민주당에도 당원하다보면 수첩이나 사진첩같은거 줌?,어렸을때 돌아가셨다고 했는데 알고보니 지금도 살아계심) 서론은 여기까지고 생각해보니까 더불어 민주당에선 이런거 주는지는 모르겠네... 일단 나는 권리가 아니라 일반당원이라서 지역당에서 모임한다고 한번...,더불어민주당
365,2022.10.25 16:53,더불어민주당 지지자들이 하는 말 중에 이건 옳음,“우리 더불어민주당 정도면 서양이나 일본 기준으로는 중도우파내지 중도 수준인데 왜 국힘 수구세력들에게 빨갱이라 욕먹는지 모르겠다” 맞말임 ㅇㅇ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,보수정치
366,2022.10.22 20:27,깃발 그냥 민주당 서체로 '더불어민주당 갤러리'가 간지다.,"정확히는 "" 디시인사이드 더불어민주당 마이너갤러리 "" 이런식으루... 메인 깃발은 그렇게 가야한다고 봄 여기에 민주당 로고까지가 딱...",더불어민주당
367,2022.09.22 12:30,[성명] 더불어민주당 갤러리는 무조건 항복을 선언합니다,설마 공개석상에서 미국 의회에 쌍욕을 하는 병신일 거라고는 미처 예상하지 못한 더불어민주당 갤러리의 한심함을 인정하고 윤석열 대통령과 국민의힘 측에 깊은 경의를 표하며 더불어민주당 갤러리 일동은 패배...,더불어민주당
368,2022.10.01 20:40,더불어민주당 마이너 갤러리 갈라파고스 다됐네 ㅋㅋ,❤☆ こんにちは Hello ^^ ★ 쓴소리 들으려고 하지 않는 마이너 갤러리는 좆망했다고 보면 된다 더불어민주당 마이너 갤러리 차단 삭제 하려면 디시에 왜 있냐? 이 만진당 주딱 파딱 개새끼들 내 글 왜 삭제? 나...,중도정치
369,2022.08.01 22:24,국내 더불어민주당 갤러리 이용 안내,"국내 더불어민주당 갤러리에서는 국내 더불어민주당과 관련된 게시물을 올려주세요. 1. 게시물의 저작권과 책임 갤러리에 올리시는 게시물(댓글 포함)의 저작권은 게시자 본인에게 있으며, 타인의 권리를 침해...",더불어민주당
370,2022.07.05 18:18,더불어민주당 역대 당대표 및 최고위원-1: 태동기,"더불어민주당의 역사를 시작한 것은 누가 뭐라고 해도 문재인 전 대통령이라고 할 수 있다. 2012년 두번의 선거 (19대 총선, 18대 대선)에 연이어 참패한 민주통합당에서 친노계가 쇠락하면서 원-웨이를 중심으로...",이재명
371,2022.09.16 18:36,더불어민주당 이상훈 의원이 신당역 살인 사건에 대해 한 망언 기사,안 받아주니 여러 가지 폭력적인 대응을 남자 직원이 한 것 같다”고 언급해 논란이 불거졌다. 더불어민주당 소속인 이상훈 서울시의원은 16일 서울시의회 시정질문에서 최근 서울 지하철 2·6호선 신당역에서...,기타 국내 드라마
372,2022.08.13 15:53,그래도 더불어 민주당 보단 낫지,너네 더불어 민주당 소속 주류인 소위 노짱계열과 생각이 다른 당원이 없겠냐 없을리가 없지 없으면 말이 안되지 그럼 더불어 민주당은 왜 저런 일이 없을까? 민주당은 집안싸움이 크게 일어나질 않아 항상 금방...,스트리머
373,2022.10.21 01:25,더불어민주당 위헌정당해산심판 청구의 건,"[전 문] 헌법재판소는 2022년 12월 재판관 8(인용) : 1(기각)의 의견으로, 피청구인 더불어민주당을 해산하고 그 소속 국회의원은 의원직을 상실한다는 결정을 선고하였다. 피 청구인이 북한식 사회주의를 실현...",국민의힘
374,2022.07.26 03:02,"더불어민주당 20년 뒤면, 전 연령대에서 최다 득표하겠네. ㅎ","우리 대한민국의 현 4050 세대가 20년 뒤인 2042년경에 6070 세대가 되면, 더불어민주당이 전 연령대에서 최다 득표를 하게 됨. 이미 현 청년 여성층-4050 세대-586 세대는 친민주 세대(현 60대 초중반에 현 586...",이재명
375,2023.02.07 15:45,<더불어민주당 전국대학생위원회 발대식 연기 안내>,<더불어민주당 전국대학생위원회 발대식 연기 안내> 안녕하십니까. 더불어민주당 대학생 당원동지 여러분. 다가오는 10일 예정되었던 더불어민주당 전국대학생위원회 발대식을 부득이하게 연기하게 되었습니다...,더불어민주당
376,2023.02.11 20:48,[매일신문 칼럼] 정치가 문제다: 더불어민주당(한동훈),https://n.news.naver.com/article/088/0000798035?sid=110 [홍성걸 칼럼] 정치가 문제다: 더불어민주당 더불어민주당은 누가 뭐래도 한국 정치사에서 가장 오래된 정당의 후예다. 민주당은 광복 직후 보수우파...,기타 국내 드라마
377,2023.02.02 14:18,(메이플폭로)더불어 민주당은 하루빨리 당 대표 이재명을 버려야하죠,"김건희 영부인을 열심히 공격을 해봐야..... 더불어 민주당 당 대표의 이재명님의 범죄 혐의가 없어지는 것 아닌데요.(보복 심리가 발동해서,김건희 영부인을 공격하죠)",메이플스토리
378,2023.02.12 18:06,더불어민주당하고 통진당하고 뭐가 다른데 분탕년들아~,게 더불어고 중국에 붙어서 대한민국의 이권을 파괴시키고 대한민국을 절단 내려한 괴수 문재앙이 더불어민주당이고 위안부 할머니들 돈문제 윤미향이 더불어고 북한간부하고 접촉한 간첩도 더불어인 윤미향...,권유
379,2023.02.06 14:43,"더불어민주당 광주광역시당, 당 지지도 보고 '당황'","https://n.news.naver.com/article/079/0003734527?sid=102 더불어민주당 광주광역시당, 당 지지도 보고 '당황' 더불어민주당 광주광역시당이 최근 주요 사회 정치 현안에 대해 휴대전화 설문조사를 진행하면서...",이재명
